1,The Godfather,1972,24.99,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,tt0068646,/godfather.jpg,2016-12-19 11:17:53.905455,2016-12-19 11:17:53.905455,1
2,Wild Strawberries,1957,20.99,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",tt0050986,/wild_strawberries.jpg,2016-12-19 11:17:53.993588,2016-12-19 11:17:53.993588,1
3,The Shawshank Redemption,1994,26.99,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",tt0111161,/shawshank_redemption.jpg,2016-12-19 11:17:54.002595,2016-12-19 11:17:54.002595,1
4,One Flew Over the Cuckoo's Nest,1975,22.99,"Upon admittance to a mental institution, a brash rebel rallies the patients to take on the oppressive head nurse.",tt0073486,/one_flew_over.jpg,2016-12-19 11:17:54.011609,2016-12-19 11:17:54.011609,1
5,The Dark Knight,2008,14.99,"When Batman, Gordon and Harvey Dent launch an assault on the mob, they let the clown out of the box, the Joker, bent on turning Gotham on itself and bringing any heroes down to his level.",tt0468569,/dark_knight.jpg,2016-12-19 11:17:54.025633,2016-12-19 11:17:54.025633,1
6,It's a Wonderful Life,1946,15.99,An angel helps a compassionate but despairingly frustrated businessman by showing what life would have been like if he never existed.,tt0038650,/its_a_wonderful_life.jpg,2016-12-19 11:17:54.035641,2016-12-19 11:17:54.035641,1
7,Kill Bill,2003,13.99,The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.,tt0266697,/kill_bill.jpg,2016-12-19 11:17:54.044658,2016-12-19 11:17:54.044658,1
8,Seven Samurai,1954,19.99,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,tt0047478,/seven_samurai.jpg,2016-12-19 11:17:54.053670,2016-12-19 11:17:54.053670,1
9,Apocalypse Now,1979,24.99,"During the U.S.-Viet Nam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.",tt0078788,/apocalypse_now.jpg,2016-12-19 11:17:54.063682,2016-12-19 11:17:54.063682,1
10,Blood Diamond,2006,17.99,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",tt0450259,/blood_diamond.jpg,2016-12-19 11:17:54.073700,2016-12-19 11:17:54.073700,1
11,Modern Times,1936,13.99,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,tt0027977,/modern_times.jpg,2016-12-19 11:17:54.082709,2016-12-19 11:17:54.082709,1
12,A Beautiful Mind,2001,22.99,"After a brilliant but asocial mathematician accepts secret work in cryptography, his life takes a turn for the nightmarish.",tt0268978,/a_beautiful_mind.jpg,2016-12-19 11:17:54.091726,2016-12-19 11:17:54.091726,1
